x1	y1	z1	x2	y2	z2	x3	y3	z3
-0.32643	0.010636	0.94516	-0.89665	-0.3199	-0.30608	0.2991	-0.94739	0.11396
-0.32744	0.011344	0.9448	-0.89611	-0.32079	-0.30672	0.2996	-0.94708	0.11521
-0.33533	-0.036766	0.94138	-0.887	-0.32441	-0.32863	0.31747	-0.9452	0.076172
-0.33533	-0.036766	0.94138	-0.887	-0.32441	-0.32863	0.31747	-0.9452	0.076172
-0.32002	-0.03157	0.94689	-0.89836	-0.3073	-0.31386	0.30088	-0.95109	0.069979
-0.31694	-0.035709	0.94777	-0.90141	-0.29944	-0.31272	0.29496	-0.95345	0.062716
-0.34931	-0.035037	0.93635	-0.87872	-0.3347	-0.34033	0.32532	-0.94167	0.086123
-0.34605	-0.034181	0.93759	-0.88115	-0.33135	-0.3373	0.3222	-0.94289	0.084546
-0.34605	-0.034181	0.93759	-0.88115	-0.33135	-0.3373	0.3222	-0.94289	0.084546
-0.40813	-0.054826	0.91128	-0.85842	-0.3167	-0.40351	0.31073	-0.94694	0.082193
-0.26246	-0.028214	0.96453	-0.90682	-0.33446	-0.25654	0.32984	-0.94199	0.062197
-0.27471	-0.084546	0.9578	-0.87705	-0.38624	-0.28564	0.3941	-0.91851	0.031953
-0.27471	-0.084546	0.9578	-0.87705	-0.38624	-0.28564	0.3941	-0.91851	0.031953
-0.27471	-0.084546	0.9578	-0.87705	-0.38624	-0.28564	0.3941	-0.91851	0.031953
-0.28899	-0.050446	0.956	-0.85576	-0.43403	-0.28159	0.42914	-0.89948	0.08226
-0.29147	-0.061801	0.95458	-0.84812	-0.44484	-0.28776	0.44242	-0.89348	0.077243
-0.29147	-0.061801	0.95458	-0.84812	-0.44484	-0.28776	0.44242	-0.89348	0.077243
-0.26588	-0.080588	0.96063	-0.81711	-0.50991	-0.26893	0.51151	-0.85644	0.069725
-0.26588	-0.080588	0.96063	-0.81711	-0.50991	-0.26893	0.51151	-0.85644	0.069725
-0.23969	-0.013618	0.97075	-0.82803	-0.51917	-0.21173	0.50687	-0.85456	0.11317
-0.3135	-0.036437	0.94889	-0.82982	-0.47528	-0.29241	0.46164	-0.87908	0.11876
-0.32184	-0.019425	0.94659	-0.83733	-0.46082	-0.29415	0.44192	-0.88728	0.13205
-0.29802	-0.0029053	0.95456	-0.84998	-0.4543	-0.26675	0.43443	-0.89085	0.13292
-0.29802	-0.0029053	0.95456	-0.84998	-0.4543	-0.26675	0.43443	-0.89085	0.13292
-0.29802	-0.0029053	0.95456	-0.84998	-0.4543	-0.26675	0.43443	-0.89085	0.13292
-0.2729	-0.042849	0.96109	-0.87048	-0.41437	-0.26565	0.40962	-0.9091	0.075783
-0.28161	-0.050122	0.95822	-0.86795	-0.41246	-0.27665	0.40909	-0.9096	0.072648
-0.2729	-0.042849	0.96109	-0.87048	-0.41437	-0.26565	0.40962	-0.9091	0.075783
-0.27694	-0.052844	0.95943	-0.89545	-0.34797	-0.27764	0.34853	-0.93601	0.049047
-0.25021	-0.047106	0.96705	-0.89401	-0.37219	-0.24944	0.37167	-0.92696	0.051011
-0.25021	-0.047106	0.96705	-0.89401	-0.37219	-0.24944	0.37167	-0.92696	0.051011
-0.27037	-0.036473	0.96207	-0.91898	-0.28811	-0.26919	0.287	-0.9569	0.04438
-0.27037	-0.036473	0.96207	-0.91898	-0.28811	-0.26919	0.287	-0.9569	0.04438
-0.28368	-0.053048	0.95745	-0.90431	-0.31735	-0.28551	0.31899	-0.94682	0.042054
-0.28367	-0.051003	0.95756	-0.8915	-0.3538	-0.28294	0.35321	-0.93393	0.054892
-0.28367	-0.051003	0.95756	-0.8915	-0.3538	-0.28294	0.35321	-0.93393	0.054892
-0.26794	-0.044156	0.96242	-0.88253	-0.38945	-0.26356	0.38646	-0.91999	0.065381
-0.25475	-0.037573	0.96628	-0.88262	-0.39921	-0.24822	0.39508	-0.91609	0.068536
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.43201	-0.024069	0.90155	-0.7504	-0.54491	-0.37413	0.50027	-0.83815	0.21735
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.29043	-0.14732	0.94549	-0.66106	-0.6835	-0.30956	0.69185	-0.71493	0.10112
-0.29014	-0.1451	0.94592	-0.66054	-0.68486	-0.30766	0.69247	-0.71408	0.10286
-0.35691	-0.15864	0.92057	-0.75061	-0.53791	-0.38371	0.55605	-0.82794	0.072909
-0.36124	-0.16094	0.91848	-0.74793	-0.53822	-0.38848	0.55687	-0.82729	0.074057
-0.37319	-0.092093	0.92317	-0.81948	-0.43378	-0.37455	0.43495	-0.8963	0.086417
