EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.0530333	0.0356874	0.025268	0.560133	0.819447	-0.121478	0.723766	-0.412753	0.55299	-0.403006	0.397669	0.824285	0.272023	2.51238	1.16359	2087
0.052781	0.0265918	0.0133774	0.234628	0.966459	-0.104437	0.949338	-0.204706	0.238437	-0.209061	0.15509	0.965526	0.146909	4.58146	1.13298	5919
0.0524702	0.0118656	0.00924204	0.585357	-0.418212	-0.694591	0.377187	0.898813	-0.223304	0.717696	-0.131278	0.68387	0.0788405	3.35009	1.03129	2923
0.0519704	0.00633528	0.00303673	0.441492	0.0849424	0.893235	0.419448	0.860498	-0.289147	-0.793188	0.502322	0.344275	0.0179382	7.26452	0.906567	4550
0.0518052	0.0233518	0.0170395	0.675284	-0.514619	-0.528354	0.166483	0.804222	-0.570535	0.718522	0.297312	0.628754	0.167407	2.54194	1.04544	1099
0.0515284	0.015459	0.0109819	-0.560328	-0.266536	0.784214	0.623601	0.487377	0.611217	-0.545119	0.831518	-0.106878	0.107582	3.64355	1.07263	1170
0.0509016	0.0347047	0.0171298	0.085796	0.736013	0.671509	0.875328	0.266228	-0.403638	0.475858	-0.622421	0.621411	0.193151	3.14329	1.18272	1207
0.0507962	0.0133835	0.007774	0.778347	-0.623839	-0.0707109	0.62102	0.748453	0.232707	-0.0922479	-0.22504	0.969973	0.0571867	4.0033	0.985549	3595
0.0505537	0.0154486	0.0113169	0.573676	0.497721	0.650515	-0.491604	0.844472	-0.212586	-0.65515	-0.19784	0.729135	0.101041	2.84295	0.921317	4338
0.0504361	0.0388882	0.0207108	0.278567	-0.709281	0.647551	0.948111	0.0955004	-0.303259	0.153254	0.698427	0.69908	0.178679	4.78976	1.19211	2111
0.0502555	0.0039378	0.00205739	0.963277	0.266033	0.0363838	-0.200496	0.802776	-0.561563	-0.178602	0.533646	0.826634	0.0130984	5.89985	0.90511	2722
0.0501277	0.00388461	0.00141302	0.620458	0.437705	0.650728	-0.487077	-0.435241	0.75718	-0.614645	0.786753	0.0568527	0.00989799	6.85794	0.874112	3129
0.0499468	0.0135678	0.0070628	-0.0629705	-0.650351	0.757019	-0.745709	0.534783	0.397399	0.66329	0.539492	0.518648	0.0698948	3.26838	0.989721	1308
0.049945	0.025561	0.0118796	-0.055685	0.815115	-0.576617	0.857289	0.335072	0.390874	0.511815	-0.472561	-0.717447	0.0669442	12.7275	0.981467	3545
0.0486198	0.0106993	0.00545697	0.810053	0.556256	-0.185453	-0.0137516	0.334217	0.942396	-0.586195	0.760841	-0.278383	0.0505984	4.34356	0.909901	5085
0.0480986	0.0102374	0.00701985	0.793235	-0.484728	0.368533	0.334249	0.852515	0.401865	-0.508976	-0.195592	0.838265	0.0743598	2.40763	0.950126	4391
0.04796	0.00984665	0.00436255	0.0120358	0.917599	0.397325	0.299457	-0.382424	0.874115	0.954034	0.108461	-0.279384	0.0336594	5.50783	0.878348	1029
0.0464212	0.00792532	0.00445425	0.938173	-0.314565	-0.144503	0.345908	0.835694	0.426572	-0.0134249	-0.450183	0.892835	0.0281172	4.44199	0.792253	2554
0.0464101	0.0345528	0.0125452	0.869206	-0.491508	-0.0538552	0.0621794	0.000601661	0.998065	0.490524	0.870873	-0.0310846	0.128284	5.66897	1.16375	4940
0.0460819	0.0127589	0.00664624	-0.0668328	0.718743	-0.692056	0.101206	0.694913	0.711936	0.992618	-0.0224598	-0.119184	0.0751717	2.5975	0.959563	4471
0.0457028	0.0275741	0.0214269	0.710813	0.322637	-0.62502	-0.428867	0.90311	-0.0215486	0.55751	0.283368	0.780311	0.218193	1.87257	1.02751	3664
0.0451119	0.0379079	0.0279979	0.456335	0.0752515	0.88662	0.836515	0.303375	-0.456296	-0.303315	0.949895	0.0754916	0.258987	2.48075	1.11443	27
0.0449195	0.0115285	0.00890659	-0.0927211	0.419982	0.902784	0.977546	-0.133917	0.162699	0.189229	0.897598	-0.398134	0.0582015	5.11719	0.91863	2830
0.0447283	0.0154596	0.00649148	-0.621429	0.772225	0.132267	0.783329	0.6156	0.0862048	0.0148541	-0.157179	0.987458	0.0671939	3.08359	0.938639	350
0.044212	0.0144897	0.00673498	0.740754	-0.0768891	0.667362	0.252182	0.952601	-0.170163	-0.622646	0.294345	0.725033	0.0495056	4.73171	0.983056	2736
0.0440258	0.00840816	0.00419726	-0.693728	0.693505	-0.194402	0.283646	0.511167	0.811328	0.662032	0.5077	-0.551321	0.0296159	4.83419	0.830364	6156
0.0438978	0.00897838	0.00475753	0.841862	-0.532143	0.0899608	0.538955	0.820234	-0.191687	0.0282158	0.209859	0.977325	0.0367038	3.65611	0.836476	4188
0.0437885	0.0269641	0.0198767	0.798121	-0.149418	-0.583675	0.124975	0.988747	-0.0822222	0.589392	-0.00732176	0.807814	0.192449	2.44939	1.22034	5948
0.0435498	0.00700279	0.00373087	-0.435926	-0.540335	0.719727	-0.0968892	0.82324	0.559364	0.894752	-0.174108	0.411224	0.018469	6.03076	0.937037	146
0.0434696	0.0148004	0.00724667	0.427451	0.855946	-0.290932	0.885088	-0.330681	0.327521	-0.184134	0.397499	0.898938	0.0604964	3.83902	0.856381	1237
0.0434503	0.00904883	0.00464395	-0.434373	-0.495293	0.752333	0.267998	0.726352	0.632922	0.85994	-0.476548	0.18277	0.01875	7.79117	0.825713	3709
0.0432213	0.0152753	0.0120517	-0.667935	0.728037	0.154352	0.674842	0.679942	-0.286825	0.313769	0.0874171	0.945467	0.0907836	4.78603	1.03413	6025
0.0431198	0.0202365	0.0148407	0.770214	-0.0311567	-0.637024	0.56504	-0.429909	0.704207	0.295803	0.902334	0.313518	0.144005	2.13189	1.00353	1070
0.0429912	0.0193447	0.00644643	-0.422595	0.724238	-0.544879	0.899247	0.410015	-0.152453	-0.112996	0.554406	0.824539	0.0705974	4.05622	0.949731	5916
0.042956	0.0135508	0.00300178	0.830412	0.222585	-0.510756	0.547798	-0.158929	0.821376	-0.101653	0.961872	0.253908	0.0490528	3.8233	1.05484	106
0.0417316	0.0197799	0.00753984	-0.473489	0.801823	0.364539	0.7738	0.180962	0.607031	0.420763	0.569503	-0.706134	0.0598407	3.5929	0.94315	53
0.0417238	0.00895222	0.00581385	-0.611191	0.699921	-0.369535	-0.331056	0.198015	0.922601	0.718921	0.686222	0.110688	0.0423865	4.30258	0.943251	435
0.0416832	0.00917171	0.00396636	0.605921	0.769548	0.201631	0.504034	-0.567461	0.651105	0.615475	-0.29289	-0.731715	0.0406848	2.61149	0.846889	5228
0.041653	0.0164187	0.0127795	0.943851	0.0232809	0.329551	-0.250285	0.701502	0.667272	0.215646	0.712287	-0.66794	0.105958	2.9639	1.05678	3081
0.041359	0.0225329	0.00928205	0.0557208	-0.67125	0.739134	-0.79282	0.420234	0.441407	0.606904	0.610596	0.508764	0.070613	5.71612	1.02114	3584
0.0411961	0.00757375	0.00635011	-0.569979	-0.3346	0.750444	-0.319041	0.931792	0.173138	0.75719	0.140737	0.637853	0.0513166	2.34111	0.799298	4602
0.0410761	0.016206	0.0128366	0.631978	0.768779	0.0978877	0.774226	-0.620706	-0.123685	0.034327	-0.153953	0.987482	0.0909398	3.33932	0.995334	5901
0.0410751	0.0257117	0.0179311	-0.310466	0.54874	0.776206	-0.764327	0.341377	-0.547051	0.565168	0.763116	-0.313431	0.174776	2.47247	0.979756	369
0.0409398	0.0156858	0.0121381	0.922475	0.385989	0.00721628	-0.324868	0.766032	0.554667	0.208568	-0.514011	0.832041	0.111001	2.15972	0.892425	2838
0.0406472	0.0185694	0.0103365	0.494035	0.07953	0.865797	0.830938	-0.336255	-0.443256	0.255876	0.938407	-0.232206	0.1083	2.76646	0.952502	928
0.0404787	0.0236199	0.0104024	-0.122453	-0.15114	0.980899	0.952136	-0.296799	0.0731304	0.280077	0.942904	0.18025	0.133873	2.06835	0.954583	4890
0.0403013	0.0145805	0.0108306	-0.0243677	0.919127	-0.393207	0.34589	0.376783	0.859299	0.937958	-0.115067	-0.327098	0.0799645	4.0769	0.954918	1581
0.0400298	0.0356972	0.0162062	-0.393502	0.914636	0.0927226	-0.0552356	-0.124199	0.990719	0.917663	0.384728	0.0993932	0.175244	2.99857	1.0809	2882
0.0395084	0.00926889	0.00663703	0.185031	0.319268	0.929425	0.681876	0.639342	-0.355369	0.707678	-0.699507	0.0994033	0.034159	4.76503	0.772425	2058
0.0392099	0.0137519	0.0112638	-0.250945	0.460286	0.851565	0.115147	0.887663	-0.445866	0.961128	0.0138331	0.275755	0.0816819	3.28888	0.935489	816
0.0390353	0.0291548	0.02611	0.683075	0.423329	-0.595148	-0.139962	0.875654	0.462212	0.716812	-0.232427	0.657387	0.197382	2.49804	1.08261	4990
0.0390141	0.0247267	0.0136518	0.762685	-0.5914	0.261836	-0.512339	-0.305356	0.802662	0.394742	0.746327	0.535887	0.125489	3.44942	1.0146	906
0.0388257	0.032904	0.0135301	0.107298	-0.654017	0.748832	0.956144	-0.138581	-0.258038	0.272535	0.743678	0.610465	0.177368	1.76382	0.931825	1876
0.038824	0.0162852	0.00544286	0.162375	0.733849	0.659621	0.49764	-0.638153	0.587465	0.85205	0.232865	-0.468813	0.070613	2.33921	0.889747	14
0.0387901	0.0180162	0.0158371	0.886557	0.243556	0.393317	-0.0591161	0.902867	-0.425837	-0.458828	0.354277	0.81484	0.141007	2.52659	0.954769	2919
0.0387436	0.00980712	0.00732098	-0.497858	-0.370866	0.783962	0.865973	-0.163383	0.472649	-0.0472037	0.914202	0.402501	0.0624791	2.34772	0.81163	3527
0.0381047	0.0118758	0.00815807	0.514825	0.824188	-0.235946	0.628434	-0.175613	0.75778	0.583118	-0.5384	-0.608357	0.0641184	3.19408	0.811603	1442
0.0379756	0.00665303	0.00547801	-0.0109068	0.970573	0.24056	0.985506	-0.0302953	0.166912	-0.169288	-0.238894	0.956175	0.0436511	2.91125	0.854531	5559
